Year,City,Month,Employment,Unemployment,Unemployment Rate,Labor Force,Rent,House Price,Income
1991.0,Corpus Christi,6.5,157729.25,14154.916666666666,8.241666666666667,171884.16666666666,,,
1991.0,Dallas,6.5,2181600.75,148295.41666666666,6.358333333333334,2329896.1666666665,,,
1991.0,El Paso,6.5,232639.0,31659.666666666668,11.975000000000001,264298.6666666667,,,
1991.0,Houston,6.5,1962525.9166666667,119316.83333333333,5.725000000000001,2081842.75,,,
1991.0,Killeen,6.5,92707.66666666667,6760.25,6.800000000000001,99467.91666666667,,,
1991.0,Laredo,6.5,51810.0,6459.416666666667,11.083333333333334,58269.416666666664,,,
1991.0,Longview,6.5,83124.66666666667,7742.416666666667,8.525,90867.08333333333,,,
1991.0,Lubbock,6.5,112976.83333333333,6584.166666666667,5.508333333333333,119561.0,,,
1991.0,McAllen,6.5,129829.33333333333,36232.083333333336,21.808333333333334,166061.41666666666,,,
1991.0,Midland,6.5,55303.916666666664,2747.5833333333335,4.7250000000000005,58051.5,,,
1991.0,Odessa,6.5,54303.25,3635.3333333333335,6.241666666666666,57938.583333333336,,,
1991.0,San Angelo,6.5,45519.583333333336,2382.4166666666665,4.991666666666666,47902.0,,,
1991.0,San Antonio,6.5,632191.75,44303.666666666664,6.550000000000001,676495.4166666666,,,
1991.0,Sherman,6.5,42953.0,3351.25,7.233333333333333,46304.25,,,
1991.0,Texarkana,6.5,56306.75,5316.25,8.641666666666664,61623.0,,,
1991.0,Tyler,6.5,71979.91666666667,5236.916666666667,6.783333333333332,77216.83333333333,,,
1991.0,Victoria,6.5,39467.083333333336,1878.0,4.533333333333333,41345.083333333336,,,
1991.0,Waco,6.5,93707.66666666667,6982.333333333333,6.941666666666666,100690.0,,,
1991.0,Wichita Falls,6.5,60580.666666666664,4348.916666666667,6.708333333333332,64929.583333333336,,,
1992.0,Abilene,6.5,67167.25,3907.0833333333335,5.491666666666666,71074.33333333333,,,
1992.0,Amarillo,6.5,101589.83333333333,5246.166666666667,4.908333333333333,106836.0,,,
1992.0,Austin,6.5,495762.1666666667,21739.833333333332,4.191666666666667,517502.0,,,
1992.0,Beaumont,6.5,172185.08333333334,17774.0,9.375,189959.08333333334,,,
1992.0,Brownsville,6.5,97114.66666666667,16574.75,14.591666666666669,113689.41666666667,,,
1992.0,College Station,6.5,75149.25,2743.8333333333335,3.525,77893.08333333333,,,
1992.0,Corpus Christi,6.5,160473.66666666666,17494.583333333332,9.816666666666666,177968.25,,,
1992.0,Dallas,6.5,2205128.8333333335,163801.5,6.908333333333332,2368930.3333333335,,,
1992.0,El Paso,6.5,242392.0,31746.916666666668,11.583333333333334,274138.9166666667,,,
1992.0,Houston,6.5,1981424.3333333333,153577.66666666666,7.183333333333333,2135002.0,,,
1992.0,Killeen,6.5,97166.33333333333,7107.25,6.824999999999999,104273.58333333333,,,
1992.0,Laredo,6.5,54777.583333333336,6726.0,10.941666666666668,61503.583333333336,,,
1992.0,Longview,6.5,84254.0,8642.333333333334,9.291666666666668,92896.33333333333,,,
1992.0,Lubbock,6.5,114934.33333333333,7031.416666666667,5.775000000000001,121965.75,,,
1992.0,McAllen,6.5,134029.91666666666,38163.833333333336,22.158333333333335,172193.75,,,
1992.0,Midland,6.5,55490.166666666664,4193.916666666667,7.033333333333332,59684.083333333336,,,
1992.0,Odessa,6.5,54151.75,5826.666666666667,9.716666666666667,59978.416666666664,,,
