"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10"
"Lake Havasu City, AZ",212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169900,175250,174950,174900,179500,179900,179850,184900,188750,189000,189000,188000,179900,184250,185000,189900,185000,189000,189900,189900,189000,189000,189300,190000,199000,194900,194000,197500,199000,199900,2e+05,209000,205000,204000,2e+05,206000,199999,210000,213000,216950,219000,217500,219900,219900,223580,219900,223000,224900
"Saginaw, MI",213,119900,119900,119900,119900,119900,118900,119500,119000,119000,1e+05,89900,89000,89900,89000,93900,99900,99900,101450,99900,99900,99900,89700,89900,85675,80750,79900,84900,84900,84900,79900,79900,81950,79900,79900,84900,85000,85000,84900,84000,89900,92900,94000,89900,95000,109900,107000,1e+05,99900,99900,99900,99900,105000,110000,109900,110000,114500,109950,109000,99900,89900,97200,99900,99900,99900,102000,104900,109000,104900,102000,99800,99900,99900,99000,99500,99900,104900,107949.5,113750,110000,112500,114900,109900,107700,102900,99900,102450,104900,113250,119000,123900,122900,119900,116500,114900
"Lake Charles, LA",214,157500,158450,155500,154900,152000,152000,152000,149900,150000,149900,149900,148000,145000,149250,149900,154900,149900,149000,147950,148500,149000,144500,149000,145000,145000,142500,139900,139900,144900,149300,139950,136000,132500,138850,145000,149000,147000,148000,154000,154900,160000,160000,159925,164700,159900,159950,159900,165000,159900,158000,159800,159900,163400,164500,163350,164900,168049.5,165900,177777,172500,169500,174900,175079,173000,175529,178950,180000,185000,190000,189900,190000,195000,195000,190200,194900,199900,205000,210000,214900,210000,214900,214900,216450,217200,219000,221500,229000,229900,226304,224000,224887.5,220125,219900,218500
"Johnson City, TN",215,174900,174900,174000,165000,169900,169900,172500,172000,175000,174900,174000,169500,164900,159900,169000,169900,169900,169000,164900,164900,159900,156900,152400,150000,149900,150000,154900,149900,157900,157900,149900,147950,148900,149900,155950,155000,156600,154900,158450,159900,163900,159900,159900,159900,159900,159000,154700,152900,149900,149999,157000,159900,164000,164000,160000,164900,164900,159999.5,163650,159900,159900,164900,169000,169900,174000,169900,169900,165000,164950,164900,161450,162500,167500,165000,164900,173250,174900,179437.5,179900,184500,178500,175000,175000,175000,174900,174900,179900,184900,184900,189000,189000,186000,189000,189750
"Elkhart, IN",216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119900,120000,119900,119250,118900,119900,120000,126900,129500,129900,127700,128900,124900,125000,124950,125000,129500,130750,129900,130000,134000,135000,134900,132900,132500,129900,129000,129900,129950,134900,139900,147000,144950,157500,149900,145000,145450,147500,149000,149900,154900,154700,169250,169000,160000,164500,159900,154900,150000
"Yuma, AZ",217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148750,149900,149000,157500,159900,165000,164900,167450,170000,162250,162000,159950,164900,165000,168000,169900,164900,167222,175000,175000,169900,173412,175000,173100,170000,169900,169900,167500,164900,167000,165000,169000,168500,169900,169900,169900,165000,164900,169900,173200,175450,177500,178000,174900,179000,179900,180000,183200
"Racine, WI",218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189650,194950,185000,194900,189900,189900,199250,199999,199999,199900,199900,194900,194900,189900,189450,189900,196000,199000,189900,199900,199900,199900,199900,198000,194900,189500,184900,189900,199800,209900,219900,220000,225900,219900,218000,212000,222500,217500,213000,224500,230000,236900,239900,239900,239900,249000,249900,238650
"Athens, GA",219,185000,183900,179900,178900,177500,172900,174850,178250,179000,169900,162900,159900,164000,159000,162450,163947,159900,159900,159000,154900,154900,150000,144900,142900,144900,144900,149900,149900,149900,154000,145000,145000,149900,149900,159889,159900,159900,159900,167500,169000,169900,169900,169900,169900,169900,169000,164900,169900,169900,172900,175000,179900,179900,179900,180000,179900,175000,175000,175000,175000,179900,180950,180000,184700,177900,181900,185000,189000,194900,189000,189000,189500,189000,185000,189450,2e+05,2e+05,205000,215000,214900,219950,214900,209900,210052.5,219900,220000,225000,230000,243500,240000,244500,247500,248400,244450
"Torrington, CT",220,269900,299900,319000,309000,299900,299900,299900,299900,299500,299900,299000,289900,289950,289900,290000,295000,289900,289900,289450,285000,280000,280000,280000,285000,279000,279900,284900,280000,289900,290000,289900,289000,289500,289000,289900,285000,283390,279975,285000,285000,289000,285000,283000,279900,285000,284900,279900,282500,279900,284950,279900,275000,279900,279900,279900,275000,274900,274900,275000,269900,274900,274900,279150,279000,279000,279000,275000,272250,279900,279900,279900,275000,275000,274950,284900,285450,285000,288500,285000,285000,289000,279900,279900,275000,279000,279900,289000,294900,299000,299000,299000,295000,299000,299900
"Saint Cloud, MN",221,169900,164900,164000,159900,159900,159900,159900,159900,159000,149900,149900,148900,145000,139900,149900,147600,149900,149900,149900,149900,149000,144900,139900,134900,134900,134900,139900,144900,144900,139700,135900,134900,137500,139900,139900,138000,135450,139900,145000,149900,149900,157500,154900,155000,159900,154900,154900,150000,152900,159900,159900,165000,167900,166900,168444,165000,165000,159900,159449,159900,159900,164350,168000,169000,169900,169900,168000,169900,165000,169900,169900,167500,164950,169900,174900,174900,174900,175000,179900,179900,179900,179900,174900,175000,179900,186450,185950,194900,199900,194900,189900,189900,189900,187450
"Bluffton, SC",222,374000,359000,349900,347900,339000,335900,325000,304900,349000,329000,324900,319000,305495,299000,314200,329000,329800,325000,320000,299900,274000,265000,249900,249000,239000,239900,244945,245000,248000,239000,230000,239000,239900,247450,280000,289900,283945,295000,299500,314900,318250,325000,324900,310000,309000,314945,315000,319947.5,315000,325000,325000,329000,328600,329900,334000,339000,339000,333323,339000,339000,339000,339000,339000,329000,345000,348750,342750,338900,349000,349900,349999.5,349999,353900,368500,379000,369900,367500,369900,369000,369000,369000,374982.5,369000,362500,365000,369000,365000,365000,364750,365000,365000,364900,369900,369020
"Bloomington, IL",223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133700,136500,139900,139900,144900,144000,144900,145900,148500,149250,149900,148950,147250,149900,149900,154900,154900,158500,159900,159900,156995,159900,159900,154900,149900,151900,154900,154900,155500,159900,154900,154900,152000,154900,149900,149900,147900,147075,149900,150000,152900,149900,149900,145250,144900,144900,139900,139900,139900,141250,149900,152900,159900,159900,159950,159900,155000,155000,155000
"Hilo, HI",224,385000,385000,375000,369000,369000,350000,349700,349000,375000,350250,349000,319900,325000,350000,359000,345000,349000,349000,349000,349000,349000,335000,319450,324950,325000,329000,325000,338000,320000,299000,295000,279000,279000,275000,299000,310000,345000,339000,339000,341600,339000,328900,338000,340000,349000,349000,349000,350000,349700,360000,355000,359000,369450,365000,365250,369000,360000,350000,369999.5,379785,385000,399000,399000,399000,369900,375392.5,389000,385000,389900,389000,390000,389950,399000,399000,423900,429000,429000,435000,439950,439000,449250,440000,449000,449000,449000,443000,439000,425000,424000,425000,425000,425000,425000,429000
"Panama City, FL",225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205000,199900,199900,204900,207450,209900,215000,209900,215000,217000,219000,215000,219900,215000,219900,224900,224900,229000,228900,232450,229900,234900,237500,234900,239900,234900,233470,229900,234900,234900,239250,243999,244900,244900,244900,244825,242450,239949.5,240000,249000,249000,251123,249900,250000,249900,249900,250000,250000
"Kingston, NY",226,259000,259950,260000,259000,259000,260000,259900,259900,265000,263750,259900,259000,259000,250000,259900,249800,250000,250000,249900,249900,248500,245000,239900,229000,229000,224900,225995,225000,227500,225000,225000,225000,220000,219900,227250,229000,225000,225000,225000,229000,235000,233750,229900,229000,225500,225000,225000,224900,220561,224900,229000,229900,235000,229900,236000,237500,234900,235000,229900,225000,220000,225000,229500,229000,229000,229000,229900,229900,229000,227500,229000,227000,224900,225000,224900,225000,239000,239000,239000,235000,239000,235000,229900,229000,225000,220000,222500,233900,239950,245000,249900,249000,249000,249000
"Fairhope, AL",227,250000,250000,249000,245000,242250,239000,234950,214500,238600,235000,229900,229900,229900,224900,225000,229000,229900,230000,229900,235000,235000,232250,232250,239000,230000,229950,237500,231550,235000,234900,229950,224900,225000,229000,240032.5,239000,234900,237362.5,239900,239850,234900,239900,244950,240787,245000,247900,249000,247000,240045,245900,249615,249900,249900,251960,253950,249999.5,250000,249900,244950,249900,249990,255710,259950,264900,269000,269000,269000,269900,259000,266950,267900,267950,269000,284900,283615,281900,279900,285000,289000,291725,291967.5,289900,290000,289000,284900,289990,291500,299000,309900,309900,309900,304900,299900,299900
"Gainesville, GA",228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225000,234551,229000,230950,229900,243000,249900,250000,250000,250000,249000,239900,237845,235000,235500,249250,229900,229900,235000,239000,229000,229900,235000,230000,239900,239000,240099,249900,259000,259900,265000,265000,250000,259000,259900,255000,248000,250000,257250,259802.5,263601.5,275000,261400,264950,269900,269000,279000,279055
"Warner Robins, GA",229,153000,149900,149900,140000,139900,139900,139900,140000,146950,139900,134000,130000,135450,128995,139000,139250,135700,139000,134900,137250,135000,132900,128900,124900,125000,125000,129900,127500,128900,128500,127500,126950,124000,125000,135000,131000,139000,137000,139900,139900,144900,142900,144900,143111,139900,136900,134900,132900,134900,139000,142500,145000,149000,148500,145900,144945,142900,144900,144900,144500,148000,145000,146500,147200,149900,147950,147700,145990,147500,146700,145000,142990,140000,142000,144700,143000,145000,149000,149900,149900,153400,149900,149900,145700,145000,149950,154900,162900,169000,172900,169900,170000,178000,172000
"Blacksburg, VA",230,189900,189250,189900,189900,189900,189900,189975,192250,190000,189900,189500,185000,184900,175000,189900,193200,193900,189900,189900,189900,189500,182500,179000,179950,179900,179900,181500,179900,179900,179900,181500,184000,179000,175000,179900,179894,176750,179900,180500,184900,182500,179000,177950,172500,169900,169900,169900,169900,182000,179900,179900,184900,185900,185900,183750,179900,180750,179900,178500,174975,174250,179000,184900,187950,187000,184900,184900,179950,185000,185000,189000,189000,179900,189500,189900,189972.5,189900,195000,192450,189900,189900,189000,184500,179900,169900,187500,192500,199950,205000,2e+05,199900,189900,199000,199000
