id,alcohol_content,bonus_reward_miles,bonus_reward_miles_ends_on,clearance_sale_savings_in_cents,description,has_bonus_reward_miles,has_clearance_sale,has_limited_time_offer,has_value_added_promotion,image_thumb_url,image_url,inventory_count,inventory_price_in_cents,inventory_volume_in_milliliters,is_dead,is_discontinued,is_kosher,is_ocb,is_seasonal,is_vqa,limited_time_offer_ends_on,limited_time_offer_savings_in_cents,name,origin,package,package_unit_type,package_unit_volume_in_milliliters,price_in_cents,price_per_liter_in_cents,price_per_liter_of_alcohol_in_cents,primary_category,producer_name,product_no,regular_price_in_cents,released_on,secondary_category,serving_suggestion,stock_type,style,sugar_content,sugar_in_grams_per_liter,tags,tasting_note,tertiary_category,total_package_units,updated_at,value_added_promotion_description,varietal,volume_in_milliliters
217950,4000,0,,0,,False,False,True,False,https://dx5vpyka4lqst.cloudfront.net/products/217950/images/thumb.png,https://dx5vpyka4lqst.cloudfront.net/products/217950/images/full.jpeg,76898,303362610,87663720,False,False,False,False,False,False,2017-12-31,150,Crown Royal,"Canada, Region Not Specified",1140 mL bottle,bottle,1140,3945,3460,865,Spirits,The Crown Royal Distilling Co.,217950,4095,,Whisky/Whiskey,,LCBO,Subtle & Sweet,,,crown royal spirits whiskywhiskey canada region not specified the distilling co bottle,,Canadian Whisky,1,2017-11-30T14:22:37.461Z,,Canada,1140
586677,550,0,,0,,False,False,False,False,https://dx5vpyka4lqst.cloudfront.net/products/586677/images/thumb.png,https://dx5vpyka4lqst.cloudfront.net/products/586677/images/full.jpeg,30761,37989835,87299718,False,False,False,False,False,False,,0,Old Milwaukee Ice,"Canada, Ontario",6x473 mL can,can,473,1235,435,791,Beer,Sleeman Brewing & Malting Co,586677,1235,,Lager,,LCBO,Light & Malty,,,old milwaukee ice beer lager canada ontario sleeman brewing malting co can,,Pale Lager,6,2017-11-30T14:33:17.084Z,,North American Lager,2838
254946,500,0,,0,,False,False,False,False,https://dx5vpyka4lqst.cloudfront.net/products/254946/images/thumb.png,https://dx5vpyka4lqst.cloudfront.net/products/254946/images/full.jpeg,162037,33055548,81018500,False,False,False,False,False,False,,0,Dab Original,"Germany, Region Not Specified",500 mL can,can,500,204,408,816,Beer,Dortmunder Actien Brauerei Kg,254946,204,,Lager,,LCBO,Light & Floral,,,dab original beer lager germany region not specified dortmunder actien brauerei kg can,,Pale Lager,1,2017-11-30T14:22:48.901Z,,European Lager,500
18,500,0,,0,,False,False,True,False,https://dx5vpyka4lqst.cloudfront.net/products/18/images/thumb.png,https://dx5vpyka4lqst.cloudfront.net/products/18/images/full.jpeg,40889,52951255,80960220,False,False,False,False,False,False,2017-12-31,155,Heineken,"Netherlands, Region Not Specified",6x330 mL bottle,bottle,330,1295,654,1308,Beer,Heineken's Brouwerijen Nederland BV,18,1450,,Lager,,LCBO,Light & Hoppy,,,heineken beer lager netherlands region not specified heineken's heinekens brouwerijen nederland bv bottle,,Pale Lager,6,2017-11-30T14:27:11.130Z,,European Lager,1980
270884,1250,0,,0,,False,False,True,False,https://dx5vpyka4lqst.cloudfront.net/products/270884/images/thumb.png,https://dx5vpyka4lqst.cloudfront.net/products/270884/images/full.jpeg,19740,80835300,78960000,False,False,False,False,False,False,2017-12-31,400,Jackson-Triggs Cabernet Sauvignon Bag in Box,"Canada, Region Not Specified",4000 mL bagnbox,bagnbox,4000,4095,1023,819,Wine,Jackson-Triggs Winery,270884,4495,,Red Wine,,LCBO,Medium-bodied & Fruity,D - Dry,10,jackson triggs jackson-triggs jacksontriggs cabernet sauvignon bag in box wine red canada region not specified winery bagnbox,,,1,2017-11-30T14:28:17.387Z,,Cabernet Sauvignon,4000
251876,1350,0,,0,,False,False,True,False,https://dx5vpyka4lqst.cloudfront.net/products/251876/images/thumb.png,https://dx5vpyka4lqst.cloudfront.net/products/251876/images/full.jpeg,98653,137620935,73989750,False,False,False,False,False,False,2017-12-31,300,Wolf Blass Yellow Label Cabernet Sauvignon,"Australia, Region Not Specified",750 mL bottle,bottle,750,1395,1860,1377,Wine,Mildara Blass Limited,251876,1695,,Red Wine,,LCBO,Full-bodied & Smooth,XD - Extra Dry,5,wolf blass yellow label cabernet sauvignon wine red australia region not specified mildara limited bottle,,,1,2017-11-30T14:41:06.190Z,,Cabernet Sauvignon,750
5959,1700,0,,0,,False,False,False,True,https://dx5vpyka4lqst.cloudfront.net/products/5959/images/thumb.png,https://dx5vpyka4lqst.cloudfront.net/products/5959/images/full.jpeg,97788,302653860,73341000,False,False,False,False,False,False,,0,Baileys Original Irish Cream,"Ireland, Region Not Specified",750 mL bottle,bottle,750,3095,4126,2427,Spirits,R & a Bailey & Co Ltd,5959,3095,,Liqueur/Liquor,,LCBO,Smooth & Creamy,,,baileys original irish cream spirits liqueurliquor ireland region not specified r a bailey co ltd bottle,,Cream,1,2017-11-30T14:17:39.197Z,Baileys Almande 50ml,,750
142620,550,0,,0,,False,False,False,False,https://dx5vpyka4lqst.cloudfront.net/products/142620/images/thumb.png,https://dx5vpyka4lqst.cloudfront.net/products/142620/images/full.jpeg,154684,30163380,73165532,False,False,False,False,False,False,,0,Laker Ice,"Canada, Ontario",473 mL can,can,473,195,412,749,Beer,The Brick Brewing Co,142620,195,,Lager,,LCBO,Light & Hoppy,,,laker ice beer lager canada ontario the brick brewing co can,,Strong Lager,1,2017-11-30T14:29:52.592Z,,Strong Lager,473
493916,490,0,,0,,False,False,False,False,https://dx5vpyka4lqst.cloudfront.net/products/493916/images/thumb.png,https://dx5vpyka4lqst.cloudfront.net/products/493916/images/full.jpeg,25471,30437845,72286698,False,False,False,False,False,False,,0,Old Milwaukee,"Canada, Ontario",6x473 mL can,can,473,1195,421,859,Beer,Sleeman Brewing & Malting Co,493916,1195,,Lager,,LCBO,Light & Malty,,,old milwaukee beer lager canada ontario sleeman brewing malting co can,,Pale Lager,6,2017-11-30T14:33:16.470Z,,American Pale Ale,2838
1487,4000,0,,0,,False,False,True,False,https://dx5vpyka4lqst.cloudfront.net/products/1487/images/thumb.png,https://dx5vpyka4lqst.cloudfront.net/products/1487/images/full.jpeg,95105,251552725,71328750,False,False,False,False,False,False,2017-12-31,300,Crown Royal Whisky,"Canada, Region Not Specified",750 mL bottle,bottle,750,2645,3526,881,Spirits,The Crown Royal Distilling Co.,1487,2945,,Whisky/Whiskey,,LCBO,Subtle & Sweet,,,crown royal whisky spirits whiskywhiskey canada region not specified the distilling co bottle,,Canadian Whisky,1,2017-11-30T14:22:39.801Z,,Canada,750
